target,target_a_english,target_a_freq,id,SPAN_freq
banda,band/gang,3.396199347,1,5.297430015
baza,trick/ cuckoo-hawk,0.954242509,2,3.437750563
braza,breaststroke,0.477121255,3,2.871572936
caballa,mackerel,1.342422681,4,2.994756945
caña,"cane, reed, glass of beer",2.173186268,5,
cepa,"type of wine, strain, root, ancestry",1.903089987,6,3.982768577
cigarra,cicada,1.041392685,7,3.139249218
cinta,"ribbon, tape",3.381656483,8,4.751525442
coca,coca plant; coca cola; cocaine,2.828659897,9,4.293450952
cochinilla,"pill bug, cochineal",0.477121255,10,2.835056102
correa,"belt, leash",2.401400541,11,3.916559219
costa,"coast, expense",3.202215776,12,5.029420306
cota,"coat of arms, elevation",1.342422681,13,3.783832143
cuaderna,(nautical) timber,1.041392685,14,2.403120521
cuba,"barrel, Cuba",2.677606953,15,4.239599752
cuenca,"eye socket, watershed, vallue",1.414973348,16,4.462502815
fauna,fauna,1.633468456,17,4.284859177
feta,feta cheese,1.041392685,18,2.727541257
foca,seal,2.021189299,19,3.470851325
fonda,"small restaurant, boarding house, stall/canteen",1.447158031,20,3.230193379
gimnasia,Gymnastics,2.50242712,21,3.910784435
gotera,"leak, gutter",1.672097858,22,3.188928484
grama,"grass, lawn (Carribean)",1.431363764,23,3.339252634
libreta,notebook,2.29666519,24,4.063333359
loma,"hill, suburb",1.602059991,25,3.731185708
moda,"fashion, fad",3.094121596,26,5.053777364
mota,"speck, pill (of fabric), fluff",1.785329835,27,3.446226402
perrera,"dog house, pound",2.075546961,28,3.022840611
plata,"silver, money",3.164947373,29,4.97701902
plaza,plaza,2.802089258,30,5.024136614
puerta,"door, gate",4.136149586,31,5.401031578
pulpa,"soft part of animals body, pulp ",1.579783597,32,3.742882171
pupila,pupil of the eye,1.591064607,33,3.795462894
rama,branch,2.404833717,34,4.765266106
rodilla,knee,2.77815125,35,4.601701551
rótula,kneecap,1.414973348,36,
rumba,rumba dance,1.556302501,37,3.661623409
sátira,satire,1.51851394,38,
seta,mushroom,0.954242509,39,3.541204691
sigla,"initial, acronym",0.77815125,40,4.53766801
solana,"strong sunshine, sun terrace, solarium",1.255272505,41,2.930439595
tina,"vat, large earthenware jar",3.053846427,42,3.533263517
tormenta,thunderstorm,3.160168293,43,4.613313161
trompa,"snout, trunk, (musical) horn, drinking sess",1.447158031,44,3.835563752
tuba,tuba,1.672097858,45,2.635483747
zapata,"brake shoe, washer (of car)",1.301029996,46,3.21005085
bando,"Faction, party, swarm",2.359835482,1,4.28189655
bazo,spleen,2.11058971,2,3.3872118
brazo,"arm (anatomy), branch, limb (of a tree)",3.365300749,3,4.724013575
caballo,horse,3.412796429,4,4.832687703
caño,"tube, pipel spout, gutter ",2.117271296,5,
cepo,"snare, trap shackle",1.230448921,6,3.390935107
cigarro,cigar,2.491361694,7,4.008046306
cinto,belt,1.662757832,8,3.188928484
coco,"coconut, weevil, bogeyman",2.618048097,9,4.260238392
cochinillo,suckling pig,0.84509804,10,2.731588765
correo,mail,3.252367514,11,5.364800432
costo,cost,2.707570176,12,5.292497525
coto,"preserve, wildlife, landmark, limit",1.176091259,13,3.650210355
cuaderno,notebook,2.352182518,14,4.31202918
cubo,"cube, bucket/pail (SP, CB)",2.5289167,15,4.05380806
cuenco,bowl,1.230448921,16,3.38774566
fauno,faun,1.301029996,17,2.836956737
feto,"fetus, hideous person (SP)",2.149219113,18,4.219767845
foco,"focus, spotlight, lightbulb",2.161368002,19,4.51771041
fondo,"bottom, back, fund, ground",3.442322956,20,5.189501543
gimnasio,gymnasium,3.01911629,21,4.355432362
gotero,eyedropper,1.113943352,22,2.891537458
gramo,gram,1.968482949,23,4.410338501
libreto,libretto (text of dramatic musical work),1.812913357,24,3.756407873
lomo,"back (of body), loin, fillet, spine, crease, blunt edge",2.117271296,25,4.009578361
modo,"way, manner",3.81517913,26,5.588809339
moto,"short for motorcycle, milestone",2.853698212,27,4.62352839
perrero,dogcatcher,1.079181246,28,1.832508913
plato,plate,3.062957834,29,4.872360256
plazo,"perdio, deadline, installment",2.822821645,30,5.338767162
puerto,"port, harbour",2.903089987,31,4.929439363
pulpo,octopus,1.908485019,32,3.696880372
pupilo,"orphan, houseguest, pupil",1.230448921,33,3.55291145
ramo,"bouquet, branch",2.227886705,34,4.313318735
rodillo,"roller, rolling pin",1.431363764,35,3.519959181
rótulo,"sign, nameplate, price tag, label",1.301029996,36,
rumbo,"course, heading",2.876794976,37,4.765057282
sátiro,satyr,0.698970004,38,
seto,"fence, hedge",1.113943352,39,2.961421094
siglo,century,3.092018471,40,5.532122218
solano,nightshade,1.041392685,41,2.584331224
tino,"skill/ability, good judgement, moderation, tact",1.579783597,42,3.428458774
tormento,"torment, torture",1.838849091,43,3.870052582
trompo,"spinning toy, (car) doghnout",1.278753601,44,3.307496038
tubo,tube,2.744292983,45,4.535319443
zapato,shoe,2.85308953,46,4.752447969
